id,app,name,applied
1,contenttypes,0001_initial,2024-06-23 02:07:34.993085
2,auth,0001_initial,2024-06-23 02:07:35.010460
3,admin,0001_initial,2024-06-23 02:07:35.023979
4,admin,0002_logentry_remove_auto_add,2024-06-23 02:07:35.036975
5,admin,0003_logentry_add_action_flag_choices,2024-06-23 02:07:35.056974
6,contenttypes,0002_remove_content_type_name,2024-06-23 02:07:35.075976
7,auth,0002_alter_permission_name_max_length,2024-06-23 02:07:35.086975
8,auth,0003_alter_user_email_max_length,2024-06-23 02:07:35.097708
9,auth,0004_alter_user_username_opts,2024-06-23 02:07:35.105713
10,auth,0005_alter_user_last_login_null,2024-06-23 02:07:35.116714
11,auth,0006_require_contenttypes_0002,2024-06-23 02:07:35.120217
12,auth,0007_alter_validators_add_error_messages,2024-06-23 02:07:35.129471
13,auth,0008_alter_user_username_max_length,2024-06-23 02:07:35.141472
14,auth,0009_alter_user_last_name_max_length,2024-06-23 02:07:35.152473
15,auth,0010_alter_group_name_max_length,2024-06-23 02:07:35.162472
16,auth,0011_update_proxy_permissions,2024-06-23 02:07:35.170472
17,auth,0012_alter_user_first_name_max_length,2024-06-23 02:07:35.181492
18,productos,0001_initial,2024-06-23 02:07:35.191491
19,sessions,0001_initial,2024-06-23 02:07:35.201492
20,admin_interface,0001_initial,2024-06-23 02:13:39.983233
21,admin_interface,0002_add_related_modal,2024-06-23 02:13:40.007700
22,admin_interface,0003_add_logo_color,2024-06-23 02:13:40.018699
23,admin_interface,0004_rename_title_color,2024-06-23 02:13:40.026701
24,admin_interface,0005_add_recent_actions_visible,2024-06-23 02:13:40.035700
25,admin_interface,0006_bytes_to_str,2024-06-23 02:13:40.082708
26,admin_interface,0007_add_favicon,2024-06-23 02:13:40.093214
27,admin_interface,0008_change_related_modal_background_opacity_type,2024-06-23 02:13:40.106215
28,admin_interface,0009_add_enviroment,2024-06-23 02:13:40.120213
29,admin_interface,0010_add_localization,2024-06-23 02:13:40.134214
30,admin_interface,0011_add_environment_options,2024-06-23 02:13:40.163216
31,admin_interface,0012_update_verbose_names,2024-06-23 02:13:40.171213
32,admin_interface,0013_add_related_modal_close_button,2024-06-23 02:13:40.183221
33,admin_interface,0014_name_unique,2024-06-23 02:13:40.193735
34,admin_interface,0015_add_language_chooser_active,2024-06-23 02:13:40.203735
35,admin_interface,0016_add_language_chooser_display,2024-06-23 02:13:40.213737
36,admin_interface,0017_change_list_filter_dropdown,2024-06-23 02:13:40.223954
37,admin_interface,0018_theme_list_filter_sticky,2024-06-23 02:13:40.232951
38,admin_interface,0019_add_form_sticky,2024-06-23 02:13:40.249950
39,admin_interface,0020_module_selected_colors,2024-06-23 02:13:40.270949
40,admin_interface,0021_file_extension_validator,2024-06-23 02:13:40.278954
41,admin_interface,0022_add_logo_max_width_and_height,2024-06-23 02:13:40.294466
42,admin_interface,0023_theme_foldable_apps,2024-06-23 02:13:40.305467
43,admin_interface,0024_remove_theme_css,2024-06-23 02:13:40.312467
44,admin_interface,0025_theme_language_chooser_control,2024-06-23 02:13:40.323466
45,admin_interface,0026_theme_list_filter_highlight,2024-06-23 02:13:40.334465
46,admin_interface,0027_theme_list_filter_removal_links,2024-06-23 02:13:40.344469
47,admin_interface,0028_theme_show_fieldsets_as_tabs_and_more,2024-06-23 02:13:40.361466
48,admin_interface,0029_theme_css_generic_link_active_color,2024-06-23 02:13:40.374465
49,admin_interface,0030_theme_collapsible_stacked_inlines_and_more,2024-06-23 02:13:40.404761
50,productos,0002_alter_producto_precio,2024-06-23 04:33:11.720174
51,captcha,0001_initial,2024-06-27 12:31:06.280040
52,captcha,0002_alter_captchastore_id,2024-06-27 12:31:06.288733
